size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
M,British Club,cotton,Blue,Short Kurta,"Blue solid straight kurta, has a mandarin collar, long sleeves, curved hem, side slits
The model (height 6') is wearing a size M
This in-style kurta from British Club is a must-have for any wardrobe.  When you need a stylish ensemble for your next family function or party, sport this blue piece with a pair of fitted jeans.
100% cottonMachine-wash","Blue solid straight kurta, has a mandarin collar, long sleeves, curved hem, side slits",Clothing/Men/Kurtas/British Club/More by British Club,538,1795,Men,In Stock
L,VASTRAMAY,Cotton,,Straight Kurta,"Gold-Toned solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
This in-style kurta from VASTRAMAY is a must-have for any wardrobe.  Dress this gold piece up with your favourite accessories and head out to any family event in style.
Cotton Silk   Dry-clean","Gold-Toned solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/VASTRAMAY/More by VASTRAMAY,639,1599,Men,In Stock
XL,Anouk,Cotton,Maroon | Black,Kurta with Churidar & Dupatta,"Maroon and black printed kurta with churidar and dupatta Maroon and mustard yellow A-line calf length kurta, has a V-neck, three-quarter sleeves, no slits Black solid churidar, has an elasticated waistband, slip-on closure Black solid dupatta, has tassels border
The model (height 58) is wearing a size S
Kurta fabric: pure cotton Bottom fabric: pure cotton Dupatta fabric: pure cotton Hand-wash
Look beautiful and polished, even during simple occasions, in this maroon kurta set from Anouk.  Wear this kurta set to lunch or on vacation with bright accessories.","Maroon and black printed kurta with churidar and dupatta Maroon and mustard yellow A-line calf length kurta, has a V-neck, three-quarter sleeves, no slits Black solid churidar, has an elasticated waistband, slip-on closure Black solid dupatta, has tassels border",Clothing/Women/Kurta Sets/Anouk/More by Anouk,1399,3499,Women,Out of Stock
XL,Rohit Bal Limited,Cotton,Blue | Navy,Kurta with Pyjamas,"Navy Blue and off-white printed kurta with pyjamasNavy Blue and off-white printed straight calf length kurta, has a mandarin collar, long sleeves, straight hem, side slitsOff-white solid pyjamas, slip-on closureDisclaimer: Due to hand-dyeing and hand printing in this fine garment, color stains may occur and also color bleeding if contact with either by washing or perspiration.
The model (height 6') is wearing a size M
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Dry-clean
Flaunt your style with a kurta from Rohit Bal Limited.  When you need a stylish ensemble for your next family function or party, sport this navy blue piece with a pair of fitted jeans.","Navy Blue and off-white printed kurta with pyjamasNavy Blue and off-white printed straight calf length kurta, has a mandarin collar, long sleeves, straight hem, side slitsOff-white solid pyjamas, slip-on closureDisclaimer: Due to hand-dyeing and hand printing in this fine garment, color stains may occur and also color bleeding if contact with either by washing or perspiration.",Clothing/Men/Kurta Sets/Rohit Bal Limited/More by Rohit Bal Limited,3822,6950,Men,In Stock
S,Libas,Cotton,White | Green,Straight Kurta,"White and green printed straight kurta, has a notched round neck, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Cotton  Hand-wash
Look and feel beautiful in this uniquely designed kurta from Libas.  This white piece is a stylish option for a nice family function or event when teamed with churidar leggings and classic flats.","White and green printed straight kurta, has a notched round neck, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Libas/More by Libas,584,1299,Women,Out of Stock
L,IMARA,Viscose Rayon,Black,Kurta with Leggings & Dupatta,"Black yoke design kurta with leggings and dupatta Black A-line knee length kurta, has a mandarin collar, three-quarter sleeves Black solid leggings, has elasticated waistband, slip-on closure Black and peach solid dupatta, has solid border
The model (height 5'8"") is wearing a size S
Showcase your unique style in this lively decorated black kurta set from IMARA.  Style this kurta set with gold bangles and statement earrings for a resort-chic look.
Kurta fabric: viscose rayon Bottom fabric: cotton blend Dupatta fabric: viscose rayon Hand-wash","Black yoke design kurta with leggings and dupatta Black A-line knee length kurta, has a mandarin collar, three-quarter sleeves Black solid leggings, has elasticated waistband, slip-on closure Black and peach solid dupatta, has solid border",Clothing/Women/Kurta Sets/IMARA/More by IMARA,2159,3599,Women,In Stock
XS,Very Me,Polyester,Maroon | White,Kurta with Pyjamas,"Maroon and white self design kurta with pyjamasMaroon straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsWhite solid pyjamas, drawstring closure
The model (height 6') is wearing a size M
Top fabric: Polyester Bottom fabric: Pure Cotton Machine-wash
Complete your look with this kurta from Very Me.  Dress this maroon piece up with your favourite accessories and head out to any family event in style.","Maroon and white self design kurta with pyjamasMaroon straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsWhite solid pyjamas, drawstring closure",Clothing/Men/Kurta Sets/Very Me/More by Very Me,1234,1899,Men,In Stock
S,ANAISA,Viscose Rayon,Red,Maxi Dress,"Red solid woven maxi dress, has a round neck with embroidered detail, three-quarter sleeves, flared hem
Semi-Fit The model (height 5'8"") is wearing a size S
Viscose Rayon Hand-wash
You're sure to love the style and comfort of this gorgeous ANAISA dress.  When you need an outfit for work and dinner after work, wear this solid red piece with platform heels and some minimalistic silver jewellery.","Red solid woven maxi dress, has a round neck with embroidered detail, three-quarter sleeves, flared hem",Clothing/Women/Dresses/ANAISA/More by ANAISA,1199,2399,Women,In Stock
XXL,Anouk,cotton,Brown | Red,Kurti,"Brown and red printed kurti, has a tie-up neck, three-quarter bell sleeves, straight hem
The model (height 5'8"") is wearing a size S
Look vibrant and charming by wearing this trendy kurti. Team it with leggings or palazzos and heels for a complete look.
100% cottonMachine-wash","Brown and red printed kurti, has a tie-up neck, three-quarter bell sleeves, straight hem",Clothing/Women/Kurtis/Anouk/More by Anouk,1499,1499,Women,Out of Stock
L,TAG 7,Cotton,Orange,Straight Kurta,"Orange solid straight kurta, has a mandarin collar, long sleeves, asymmetric hem, and multiple slits
The model (height 6') is wearing a size M
Cotton  Dry-clean
This in-style kurta from TAG 7 is a must-have for any wardrobe.  You'll look dapper as ever in this orange piece paired with slim jeans and sandals, ideal for any nice family gathering.","Orange solid straight kurta, has a mandarin collar, long sleeves, asymmetric hem, and multiple slits",Clothing/Men/Kurtas/TAG 7/More by TAG 7,899,2999,Men,In Stock
3XL,Freehand,Cotton,Green,Kurta with Pyjamas,"Green solid kurta with pyjamas Green pakistani style knee length kurta, has a shirt collar, long sleeves, curved hem Green solid pyjamas, drawstring closure
The model (height 6') is wearing a size M
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Machine-wash
Sport this classic kurta from Freehand this season.  When you need a stylish ensemble for your next family function or party, sport this green piece with a pair of fitted jeans.","Green solid kurta with pyjamas Green pakistani style knee length kurta, has a shirt collar, long sleeves, curved hem Green solid pyjamas, drawstring closure",Clothing/Men/Kurta Sets/Freehand/More by Freehand,1039,2599,Men,Out of Stock
M,Manish Creations,linen,Teal | Blue,Straight Kurta,"Teal blue solid straight kurta with embroidery, has a stand collar, long sleeves, curved hem, side slits, 2 pockets
The model (height 6') is wearing a size M
From Manish Creations, this kurta is a great way to show off your style. Dress this teal blue piece up with your favourite accessories and head out to any family event in style.
50% linen, 50% polyester Dry-clean","Teal blue solid straight kurta with embroidery, has a stand collar, long sleeves, curved hem, side slits, 2 pockets",Clothing/Men/Kurtas/Manish Creations/More by Manish Creations,1999,2499,Men,Out of Stock
XL,Biba,cotton,Beige | Maroon,Anarkali Kurta,"Beige and maroon printed Anarkali kurta, has a shirt collar, a full button placket, three-quarter sleeves, two insert pockets, a flared hem, and a front slit
The model (height 5'8"") is wearing a size S
100% cotton Hand-wash cold
Comfortable and stylish, this kurta from Biba is ideal for any fashionista. This piece is a stylish option for a nice family function or event when teamed with churidar leggings and classic flats.","Beige and maroon printed Anarkali kurta, has a shirt collar, a full button placket, three-quarter sleeves, two insert pockets, a flared hem, and a front slit",Clothing/Women/Kurtas/Biba/More by Biba,1799,2999,Women,Out of Stock
10-11Y,YK,Silk,Beige | Blue | Navy,Lehenga Choli,"Beige, navy blue and pink lehenga choliNavy blue blouse, has a round neck, sleeveless, and zip closureBeige solid ready to wear lehenga, flared hem, slip-on closurePink dupatta has taping along the border
Grab attention in this elegant semi-stitched lehenga choli.Once stitched, style it with matching jewellery and embellished heels to complete your desi diva avtaar.
Blouse fabric: SilkLehenga fabric: NetLehenga lining fabric: Poly georgetteDupatta fabric: NetDry clean","Beige, navy blue and pink lehenga choliNavy blue blouse, has a round neck, sleeveless, and zip closureBeige solid ready to wear lehenga, flared hem, slip-on closurePink dupatta has taping along the border",Clothing/Girls/Lehenga Choli/YK/More by YK,1169,3899,Girls,Out of Stock
XL,IVOC,Cotton,White,Straight Kurta,"White printed straight kurta, has a mandarin collar, long sleeves, curved hem
The model (height 6') is wearing a size M
100% CottonMachine-wash
Sport this classic kurta from IVOC this season.  Dress this white piece up with your favourite accessories and head out to any family event in style.","White printed straight kurta, has a mandarin collar, long sleeves, curved hem",Clothing/Men/Kurtas/IVOC/More by IVOC,629,1799,Men,Out of Stock
M,Anouk,cotton,Brown | White,Kurta with Trousers,"White and brown printed kurta with trousers White and brown straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits Brown printed palazzos, slip-on closure
The model (height 5'8"") is wearing a size S
Top fabric: 100% cotton Bottom fabric: 100% cotton Hand-wash
This elegant white kurta set from Anouk will help you feel elegant and modest at any occasion.  Style this kurta set with gold bangles and statement earrings for a resort-chic look.","White and brown printed kurta with trousers White and brown straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits Brown printed palazzos, slip-on closure",Clothing/Women/Kurta Sets/Anouk/More by Anouk,1199,2999,Women,Out of Stock
M,Vishudh,Viscose Rayon,Grey,Maxi Dress,"Grey printed woven maxi %S, has a mandarin collar, three-quarter sleeves, button closure, and flounce hem
Semi-Fit The model (height 5'8"") is wearing a size S
Viscose Rayon Machine-wash
This dress from Vishudh is both durable and stylish, making it a must-have item.  Pair this printed grey piece with an incredible statement bag and heels for a casual, fashion-forward look for running errands.","Grey printed woven maxi %S, has a mandarin collar, three-quarter sleeves, button closure, and flounce hem",Clothing/Women/Dresses/Vishudh/More by Vishudh,1524,3049,Women,In Stock
